to,from,dashes
3948,3844,True
3948,3845,True
3948,3846,True
3948,3847,True
3947,3843,True
3947,3844,True
3947,3845,True
3947,3846,True
3946,3115,
3945,3906,
3944,2778,
3943,2778,
3942,3357,
3941,3696,
3940,3696,
3939,3696,
3938,3696,
3937,3842,
3936,3529,
3931,3843,True
3931,3846,True
3930,3781,
3928,3843,True
3928,3846,True
3927,3843,True
3927,3846,True
3918,3309,
3917,3309,
3916,3309,
3915,3309,
3914,3309,
3913,3309,
3912,3309,
3911,3309,
3910,3309,
3907,3014,
3895,3422,
3887,3495,
3865,3792,
3864,3792,
3863,3792,
3860,3029,
3859,3029,
3858,3113,
3857,3029,
3854,3352,
3846,3841,
3845,3841,
3844,3841,
3843,3841,
3842,3781,
3841,3409,
3840,3409,
3839,3409,
3838,2690,
3836,2674,True
3836,2675,True
3836,2676,True
3836,2677,True
3836,2678,True
3836,2679,True
3836,2680,True
3836,2681,True
3836,2682,True
3836,2683,True
3836,2684,True
3836,2685,True
3836,2686,True
3835,2835,True
3835,2836,True
3834,2835,True
3834,2836,True
3833,2835,True
3833,2836,True
3832,2835,True
3832,2836,True
3831,2835,True
3831,2836,True
3830,2835,True
3830,2836,True
3829,2835,True
3829,2836,True
3828,2835,True
3828,2836,True
3827,2835,True
3827,2836,True
3826,2835,True
3826,2836,True
3825,2835,True
3825,2836,True
3824,2835,True
3824,2836,True
3823,2835,True
3823,2836,True
3822,2835,True
3822,2836,True
3821,2835,True
3821,2836,True
3820,2835,True
3820,2836,True
3819,2835,True
3819,2836,True
3818,2835,True
3818,2836,True
3817,2835,True
3817,2836,True
3816,2835,True
3816,2836,True
3815,2835,True
3815,2836,True
3814,2835,True
3814,2836,True
3813,2835,True
3813,2836,True
3812,2835,True
3812,2836,True
3811,2835,True
3811,2836,True
3810,2835,True
3810,2836,True
3808,3604,
3807,3604,
3806,3655,
3805,3655,
3803,3495,
3802,3505,True
3802,3772,True
3801,3406,
3800,3406,
3799,3406,
3798,3406,
3797,3490,
3795,3422,
3794,3422,
3793,3389,
3791,2835,True
3791,2836,True
3788,3389,
3787,3389,
3786,3389,
3785,3389,
3784,3389,
3783,3389,
3782,2673,
3780,3529,
3779,3503,
3778,3503,
3777,3503,
3776,3503,
3775,3503,
3774,3503,
3773,3503,
3772,3505,
3771,3505,
3770,3664,
3767,3622,
3766,3622,
3765,3622,
3764,3622,
3763,3622,
3762,3622,
3761,3622,
3760,3622,
3759,3622,
3758,3757,
3757,3757,
3756,2673,
3755,2673,
3726,3039,
3725,3331,
3724,3029,
3723,3329,
3722,3329,
3721,3029,
3719,3331,
3718,3303,
3717,3331,
3716,3716,True
3716,3029,True
3716,3039,True
3715,3029,
3713,3331,True
3713,3345,True
3712,3331,True
3712,3345,True
3711,3331,True
3711,3345,True
3710,3331,True
3710,3397,True
3709,3528,True
3709,3397,True
3708,3443,
3707,3443,
3705,3443,
3704,3645,
3703,3645,
3702,3645,
3701,3645,
3694,2805,
3693,2673,
3692,2673,
3691,2673,
3690,2673,
3689,2673,
3688,2673,
3687,2673,
3686,2673,
3685,2673,
3684,2673,
3683,2673,
3682,3409,
3681,3409,
3677,2673,
3676,2674,
3675,2674,True
3675,2761,True
3673,3014,True
3673,3076,True
3673,3022,True
3672,3589,
3671,2673,
3668,3589,
3667,3589,
3666,3589,
3665,3589,
3662,3379,True
3662,3609,True
3662,3610,True
3661,3379,True
3661,3609,True
3661,3610,True
3660,3556,
3659,3556,
3658,3556,
3657,3556,
3656,3556,
3643,2673,
3642,3331,True
3642,3345,True
3641,3331,True
3641,3345,True
3640,3331,True
3640,3345,True
3639,3331,True
3639,3345,True
3638,3331,True
3638,3345,True
3637,3331,True
3637,3345,True
3636,3331,True
3636,3345,True
3630,2813,
3627,3488,
3626,2691,
3624,3491,
3623,3490,
3618,3409,
3617,3409,
3616,2665,True
3616,2704,True
3614,2673,
3613,2673,
3610,3380,
3609,3379,
3606,2691,
3605,3407,
3604,3407,
3600,3388,
3599,3388,
3598,3388,
3597,3388,
3596,3388,
3594,3004,True
3594,3075,True
3590,3271,
3586,3319,
3573,2969,True
3573,3028,True
3572,2673,
3570,2673,
3569,2673,
3565,2673,
3564,2673,
3562,2673,
3560,2673,
3559,2673,
3553,2673,
3552,2673,
3551,2673,
3549,2673,
3548,2673,
3545,2673,
3544,2673,
3543,2673,
3542,2673,
3541,2673,
3540,2673,
3539,2673,
3538,2673,
3537,2673,
3536,2673,
3535,2673,
3534,2673,
3533,2673,
3532,2673,
3529,3397,
3528,3397,
3523,2673,
3522,2673,
3521,2673,
3520,2673,
3519,2673,
3518,2673,
3517,2673,
3516,2673,
3515,2673,
3514,2673,
3513,2673,
3512,2673,
3511,2673,
3510,2673,
3509,2673,
3508,2673,
3507,2673,
3502,3306,
3501,3418,
3500,2963,
3499,2963,
3498,3382,
3495,3039,
3494,3306,
3489,3422,
3486,3483,
3481,3393,
3480,3393,
3479,3393,
3478,3393,
3477,2687,True
3477,2688,True
3474,2687,True
3474,2688,True
3473,2687,True
3473,2688,True
3470,3393,
3468,3388,
3423,2664,
3413,3331,True
3413,3345,True
3412,3331,True
3412,3345,True
3408,3306,
3407,3115,
3384,2674,True
3384,2686,True
3383,3075,
3381,2673,
3380,3346,True
3380,3360,True
3378,3037,
3377,3037,
3376,3037,
3375,2674,True
3375,2675,True
3375,2676,True
3375,2677,True
3375,2678,True
3375,2679,True
3375,2680,True
3375,2681,True
3375,2682,True
3375,2683,True
3375,2684,True
3375,2685,True
3375,2686,True
3374,2674,True
3374,2675,True
3374,2676,True
3374,2677,True
3374,2678,True
3374,2679,True
3374,2680,True
3374,2681,True
3374,2682,True
3374,2683,True
3374,2684,True
3374,2685,True
3374,2686,True
3373,2674,True
3373,2675,True
3373,2676,True
3373,2677,True
3373,2678,True
3373,2679,True
3373,2680,True
3373,2681,True
3373,2682,True
3373,2683,True
3373,2684,True
3373,2685,True
3373,2686,True
3372,2674,True
3372,2675,True
3372,2676,True
3372,2677,True
3372,2678,True
3372,2679,True
3372,2680,True
3372,2681,True
3372,2682,True
3372,2683,True
3372,2684,True
3372,2685,True
3372,2686,True
3371,2674,True
3371,2675,True
3371,2676,True
3371,2677,True
3371,2678,True
3371,2679,True
3371,2680,True
3371,2681,True
3371,2682,True
3371,2683,True
3371,2684,True
3371,2685,True
3371,2686,True
3370,2674,True
3370,2675,True
3370,2676,True
3370,2677,True
3370,2678,True
3370,2679,True
3370,2680,True
3370,2681,True
3370,2682,True
3370,2683,True
3370,2684,True
3370,2685,True
3370,2686,True
3369,2674,True
3369,2675,True
3369,2676,True
3369,2677,True
3369,2678,True
3369,2679,True
3369,2680,True
3369,2681,True
3369,2682,True
3369,2683,True
3369,2684,True
3369,2685,True
3369,2686,True
3368,2680,True
3368,2681,True
3368,2682,True
3368,2683,True
3368,2684,True
3368,2685,True
3368,2686,True
3366,2690,
3362,2689,
3360,3346,
3359,3319,
3358,3084,
3353,3097,
3352,3071,
3347,3061,
3345,3331,
3344,3115,
3343,3115,
3342,3115,
3341,3115,
3340,3115,
3339,3115,
3338,3115,
3336,3134,
3326,2819,True
3326,2820,True
3325,2819,True
3325,2820,True
3320,3061,
3318,3061,
3317,2674,
3316,2687,
3315,2687,
3314,2687,
3313,2687,
3302,2815,
3301,2728,
3300,2689,
3299,2687,True
3299,2688,True
3295,2815,
3294,2815,
3293,2815,
3292,2815,
3291,2815,
3290,2815,
3289,2815,
3288,2815,
3287,2815,
3286,2815,
3285,2815,
3284,2815,
3283,2815,
3282,2815,
3281,2815,
3280,2815,
3279,2815,
3278,2815,
3277,2815,
3276,2815,
3275,2815,
3274,2815,
3273,2815,
3272,2815,
3271,2815,
3270,2815,
3269,2815,
3268,2815,
3267,2815,
3266,2815,
3265,2815,
3264,2815,
3263,2815,
3262,2815,
3261,2815,
3260,2815,
3259,2815,
3258,2815,
3257,2815,
3256,2815,
3255,2815,
3254,2815,
3253,2815,
3252,2815,
3251,2815,
3250,2815,
3249,2815,
3248,2815,
3247,2815,
3246,2815,
3245,2815,
3244,2815,
3243,2815,
3242,2815,
3241,2815,
3240,2815,
3239,2815,
3238,2815,
3237,2815,
3236,2815,
3235,2815,
3234,2815,
3233,2815,
3232,2815,
3231,2815,
3230,2815,
3229,2815,
3228,2815,
3227,2815,
3226,2815,
3225,2815,
3224,2815,
3220,2785,
3219,2785,
3218,2785,
3217,2785,
3216,2785,
3215,2785,
3214,2785,
3213,2785,
3212,2785,
3211,2785,
3210,2785,
3209,2785,
3208,2785,
3207,2785,
3206,2785,
3205,2785,
3204,2785,
3203,2785,
3202,2785,
3201,2785,
3200,2785,
3199,2785,
3198,2785,
3197,2785,
3196,2785,
3195,2785,
3194,2785,
3193,2785,
3192,2785,
3191,2785,
3190,2785,
3189,2785,
3188,2785,
3187,2785,
3186,2785,
3185,2785,
3184,2785,
3183,2785,
3182,2785,
3181,2785,
3180,2785,
3179,2785,
3178,2785,
3177,2785,
3176,2785,
3175,2785,
3174,2785,
3173,2785,
3172,2785,
3171,2785,
3170,2785,
3169,2785,
3168,2785,
3167,2785,
3166,2785,
3165,2785,
3164,2785,
3163,2785,
3162,2785,
3161,2785,
3160,2785,
3159,2785,
3158,2785,
3157,2785,
3156,2785,
3155,2785,
3154,2785,
3153,2785,
3152,2785,
3151,2785,
3150,2785,
3149,2785,
3148,2785,
3147,2785,
3146,2785,
3145,2785,
3144,2785,
3143,2785,
3142,2785,
3141,2785,
3140,2785,
3139,2785,
3138,2785,
3137,2785,
3136,2785,
3135,2785,
3134,2785,
3133,2785,
3132,2785,
3131,2785,
3130,2785,
3129,2785,
3128,2785,
3127,2785,
3126,2785,
3125,2812,
3124,2812,
3123,2812,
3122,2812,
3121,2812,
3120,2812,
3119,2812,
3118,2812,
3117,2812,
3116,2812,
3114,2812,
3112,2812,
3110,2665,
3109,2812,
3108,2920,
3103,2812,
3096,2835,
3070,2920,
3069,2920,
3063,2821,
3062,2821,
3061,2821,
3060,2821,
3059,2821,
3055,2821,
3054,2821,
3053,2821,
3052,2687,
3051,2687,
3050,2687,
3049,2687,
3048,2687,
3047,2675,True
3047,2676,True
3047,2677,True
3047,2678,True
3047,2679,True
3047,2680,True
3047,2681,True
3047,2682,True
3047,2683,True
3047,2684,True
3047,2685,True
3047,2686,True
3046,2687,
3045,2687,
3044,2687,
3043,2687,
3042,2687,
3041,2687,
3040,2687,
3036,2812,
3028,2969,
3027,2812,
3026,2812,
3025,2812,
3024,2787,
3023,2787,
3019,2971,
3014,3022,
2970,2716,
2965,2921,
2964,2921,
2961,2717,
2960,2717,
2944,2672,
2943,2812,
2942,2812,
2941,2673,
2940,2673,
2939,2673,
2938,2673,
2937,2673,
2936,2673,
2935,2673,
2934,2673,
2933,2673,
2932,2673,
2931,2673,
2930,2673,
2929,2673,
2928,2673,
2927,2673,
2926,2673,
2925,2673,
2924,2673,
2923,2673,
2922,2673,
2919,2922,
2918,2716,
2917,2716,
2916,2716,
2915,2716,
2914,2716,
2913,2716,
2912,2716,
2911,2716,
2910,2716,
2909,2716,
2835,2804,
2834,2786,
2833,2804,
2825,2806,
2824,2750,
2823,2750,
2822,2750,
2818,2716,
2814,2725,
2813,2675,True
2813,2676,True
2813,2677,True
2813,2678,True
2813,2679,True
2813,2680,True
2813,2681,True
2813,2682,True
2813,2683,True
2813,2684,True
2813,2685,True
2812,2716,
2811,2812,
2810,2812,
2809,2812,
2808,2812,True
2808,2716,True
2807,2806,
2806,2716,
2805,2806,
2804,2716,
2791,2664,True
2791,2668,True
2790,2675,True
2790,2676,True
2790,2677,True
2790,2678,True
2790,2679,True
2790,2680,True
2790,2681,True
2790,2682,True
2790,2683,True
2790,2684,True
2790,2685,True
2790,2686,True
2789,2675,True
2789,2676,True
2789,2677,True
2789,2678,True
2789,2679,True
2789,2680,True
2789,2681,True
2789,2682,True
2789,2683,True
2789,2684,True
2789,2685,True
2789,2686,True
2788,2717,
2786,2716,
2785,2771,
2784,2771,
2783,2771,
2782,2771,
2781,2771,
2780,2771,
2779,2771,
2778,2771,
2777,2771,
2776,2771,
2775,2771,
2774,2771,
2773,2771,
2772,2771,
2771,2771,
2770,2667,
2761,2673,
2758,2675,True
2758,2676,True
2758,2677,True
2758,2678,True
2758,2679,True
2758,2680,True
2758,2681,True
2758,2682,True
2758,2683,True
2758,2684,True
2758,2685,True
2758,2686,True
2757,2690,
2756,2675,True
2756,2676,True
2756,2677,True
2756,2678,True
2756,2679,True
2756,2680,True
2756,2681,True
2756,2682,True
2756,2683,True
2756,2684,True
2756,2685,True
2756,2686,True
2754,2673,
2752,2690,
2728,2689,
